product_name,product_description,product_domain
Unbox Robotics,"Unbox Robotics builds on-demand AI-driven warehouse robotics solutions, which can be deployed using limited foot-print, time, and capital.",AI startup
upGrad,UpGrad is an online higher education platform.,EdTech
Lead School,LEAD School offers technology based school transformation system that assures excellent learning for every child.,EdTech
Bizongo,Bizongo is a business-to-business online marketplace for packaging products.,B2B E-commerce
FypMoney,"FypMoney is Digital NEO Bank for Teenagers, empowering them with financial literacy and ease of secured financial transactions.",FinTech
Urban Company,"Urban Company (Formerly UrbanClap) is a home and beauty services platform in India, Middle East, Singapore and Australia",Home services
Comofi Medtech,Comofi Medtech is a healthcare robotics startup.,HealthTech
Qube Health,India's Most Respected Workplace Healthcare Management Company,HealthTech
Vitra.ai,Vitra.ai is an AI-based video translation platform,Tech Startup
Taikee,"Taikee is the ISO-certified, B2B e-commerce platform of Peel-Works, enabling better lives for corner stores.",E-commerce
Fitterfly,"Fitterfly offers customized and personalized wellness programs for diabetes PCOS, pregnancy, weight loss, pediatric and nutrition.",HealthTech
FreeStand,FreeStand enables FMCG brands to execute trackable and scalable product sampling campaigns.,B2B service
MyDentalPlan,My Dental Plan provides dental care packages and services.,Helathcare
Freyr Energy,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.",Renewable Energy
DealShare,DealShare is a Social Commerce Startup,E-commerce
Tessolve,"Tessolve Semiconductor offers engineering in semiconductor design, test/product engineering, failure analysis, systems design.",Electronics
Smart Joules,Smart Joules is an energy management company.,Renewable Energy
ORAI,AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL,IT startup
ixamBee,ixamBee is to provide best online learning experience for preparation of competitive exams.,EdTech
CoinSwitch Kuber,CoinSwitch Kuber is an India-based cryptocurrency exchange platform.,FinTech
Razorpay,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.",FinTech
Uable,Uable offers role based programmes to empower children to explore different domains.,EdTech
ZFW Hospitality,Creating a sustainable and scalable cloud kitchen network.,Food & Beverages
Optimized Electrotech,"Long distance, multispectral Surveillance Equipment for Defense, Aerospace, Critical Asset Protection",Aeorspace
Northern Arc,Northern Arc Capital is a Non-Banking Finance Company that provides borrows with access to debt investors.,FinTech
Chara,"A scalable, cloud-controlled, and rare earth mineral free Hardware and Software platform for the Switched Reluctance Motor and other magnet free motor technologies.",Deep Tech
Sirona Hygiene,Solving unaddressed Intimate & Menstrual Hygiene issues with our award-winning innovative & modern products.,HealthTech
Pristyn Care,Pristyn Care is Health Care Startup that is disrupting Elective Surgery Procedures,HealthTech
TrulyMadly,Trulymadly is a dating platform that uses a match making algorithm.,Dating
Vidyakul,Vidyakul is an vernacular e-learning platform that helps state board students to learn academics via pre-recorded and live lectures,EdTech
Jambox Games,"A competitive game publishing platform to help developers in India and Southeast Asia to publish their games, and compete with the global incumbents.",Gaming
Miko,"Miko is an advanced robotics startup focusing on robotics, AI & IoT.",Robotics
SuperK,SuperK is a full-stack solution to empower small format retail stores in India.,Retail
