product_name,product_description,product_domain
KiarX,KiarX is a mine management tech start-up focuses on the digitalization of the mining industry.,Mining
Revoh,Electric vehicle powertrain manufacturing,Automobile Manufacturing
FlexifyMe,"FlexifyMe is to balance your Mind, Body & Soul Online & from Anywhere.","Healthcare,Wellness"
Red Basil Technologies,Red Basil Technologies is a tech-driven and zero-inventory marketplace for wholesale food supply for restaurants and cloud kitchen,Food&Beverages
FirstCure Health,"$3,500,000",FirstCure Health aims to simplify the surgery experience by bringing the best surgeons with modern and safe procedures at affordable costs
ForeignAdmits,"ForeignAdmits is a mobile career coaching platform for higher education aspirants using data sciences, AI & human experiential guidance.",Career Planning
Sploot,Sploot is a community-led platform for better pet parenting with the aim to create happier and healthier lives for pets,Consumer Applications
Fanztar,Fanztar is a a Web3 platform for the creator economy.,Software
Humpy Farms,Humpy Farms provides a structured training of technology modules to farmers about innovative regenerative organic methods of cultivation.,Agriculture
NutriTap,NutriTap is provides healthy food options in IoT-enabled vending machines.,Food&Beverages
Agasta,Agasta exports Japanese used cars at reasonable prices overseas.,Automobile Vehicles
Fyllo,Fyllo is a software company that provides compliance-first solutions for highly regulated industries,Enterprise Software
Goldenpi,One stop shop for Bonds and Debentures exclusively.,Financial Services
HOP Electric,HOP Electric offer smart electric scooters and integrated battery charging cum swapping solution.,Elecgric Vehicle
Bytebeam,"Bytebeam is an IoT platform providing solutions such as over the air updates, device to mobile sync, data visualization, and alerting.",Internet
Multipl,"Multipl is a financial application platform that helps people with their savings, investments, payments and spending money.",Financial Services
Josh Talks,Josh Talks is a startup that produces videos and events that that aims to empower each individual to dream big and achieve even bigger,Broadcasting
AssetPlus,AssetPlus focuses on offering digital-first solutions to financial advisors and mutual fund distributors.,Financial Services
Kolo,Home Construction App,Construction
BharatX,"BharatX is a Embedded Consumer Credit company that enables Apps & Websites.to give their users, Credit as a Feature.",Financial Services
Hono,Hono is a provider of HR solutions and services.,Software
MoEVing,MoEVing is a technology-driven firm with the goal of transforming the electric vehicle (EV) ecosystem in India and accelerating EV adoption.,Electric Vehicle
