product_name,product_description,product_domain
LoadShare,LoadShare is one of India's fastest-growing logistics companies with a  far-reaching express and logistics network,Logistics & Supply Chain
Scaler,Scaler is devoted to creating a growth ecosystem to help software professionals unlock talent and opportunities at every stage of their career.,E-learning
Chargebee,Chargebee is a recurring billing and subscription management tool that helps SaaS and SaaS-like businesses streamline Revenue Operations.,Financial Services
Nautilus Mobile,Nautilus Mobile is an independent mobile gaming studio,Computer Games
Waterfield Advisors,"India's largest Multi-Family Office and Wealth Advisory firm, providing holistic advice without any conflict of interest",Financial Services
OneTo11,OneTo11 is a tech driven gaming company.,Sports
Scrut Automation,"Scrut Provides the deepest cloud integration, which monitors against 140+ vulnerabilities",Information Technology & Services
The Renal Project,The Renal Project (TRP) is a chain of dialysis micro-centres revolutionizing the availability and delivery of dialysis therapy.,Hospital & Health Care
ZERUND,Zerund brick is known as Plastic Embedded Lightweight Brick. It is a patented lightweight brick of Zerund Manufacturing Pvt. Ltd.,Building Materials
Zama Organics,Zama offers fresh organic produce sourced from farmers and artisans around India.,Food & Beverages
Jar,Jar is a daily gold savings app that lets you save money by taking spare change from your online transactions and investing it in digital gold automatically.,Financial Services
Bombay Shaving Company,Personal care and hair removal brand,Consumer Goods
Logibricks,Logibricks is a SaaS platform that helps online retailers manage their post-purchase operations from start to finish.,Computer Software
Pillow,"Pillow aims to make participation in DeFi as simple as possible, by abstracting out all technical, security, and strategic concerns",Financial Services
SatSure,SatSure is an innovative decision analytics company,Defense & Space
Trifecta Capital,Trifecta Capital is India's leading alternate financing platform for startups across their life cycle.,Venture Capital & Private Equity
Kritsnam,Kritsnam Technologies has evolved from IIT Kanpur research and innovation centre with a vision towards data-driven water management.,Information Technology & Services
Dvara SmartGold,Investment service to financially integrate every household in the country through a uniquely curated gold savings plan.,Financial Services
GoalTeller,GoalTeller is a bootstrapped fintech startup with an aim to provide financial planning tools to individual investors.,Information Technology & Services
Goldsetu,Gold Setu is a mobile-first SaaS platform for jewellery retailers that helps them to automate their workflows and digitally engage with their customers.,SaaS
Meraqui,"A SaaS-enabled platform for effective grey and blue-collar workforce management specializing in employee lifecycle management, jobs and requisition management, and training and/or interview assessments.",Human Resources
