product_name,product_description,product_domain
Aqgromalin,Cultivating Ideas for Profit,AgriTech
Krayonnz,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,EdTech
PadCare Labs,Converting bio-hazardous waste to harmless waste,Hygiene management
NCOME,Escrow-as-a-service platform,Escrow
Gramophone,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,AgriTech
qZense,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,AgriTech
MyClassboard,MyClassboard is a full-fledged School / College Management Software.,EdTech
Metvy,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,Networking platform
Rupeek,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.",FinTech
Gig India,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,Crowdsourcing
Slurrp Farm,Slurrp Farm is a children health food brand.,Food & Bevarages
Medfin,Medfin is a Discovery platform for medical procedures and financing.,HealthTech
MasterG,MasterG is a design and skill development organisation.,Fashion startup
Brila 91,Bira 91 is a craft beer company.,Food & Bevarages
FoodyBuddy,FoodyBuddy is a online food delivery portal,Food Industry
Zomato,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants,Food Delivery
OurEye.ai,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.",Virtual auditing startup
Shiprocket,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,E-commerce
Pine Labs,A merchant platform company that provides financing and last-mile retail transaction technology to merchants.,FinTech
Moneyboxx Finance,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,FinTech
EWar,EWar Games is a e-sports and real-time gaming start-up.,Gaming
SucSEED Indovation,"SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE, SCALE & GROW",FinTech
TaxBuddy.com,TaxBuddy for any tax related issues.,FinTech
Awign Enterprises,Operations and manpower outsourcing startup,Work fulfillment
Circle of Angels,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone.,FinTech
CoinDCX,CoinDCX is a company that specializes in crypto-enabled financial services.,FinTech
