product_name,product_description,product_domain
TheCollegeFever,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",Brand Marketing
TheCollegeFever,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",Event Promotion
TheCollegeFever,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",Marketing
TheCollegeFever,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",Sponsorship
TheCollegeFever,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",Ticketing
Happy Cow Dairy,A startup which aggregates milk from dairy farmers in rural Maharashtra.,Agriculture
Happy Cow Dairy,A startup which aggregates milk from dairy farmers in rural Maharashtra.,Farming
MyLoanCare,Leading Online Loans Marketplace in India,Credit
MyLoanCare,Leading Online Loans Marketplace in India,Financial Services
MyLoanCare,Leading Online Loans Marketplace in India,Lending
MyLoanCare,Leading Online Loans Marketplace in India,Marketplace
PayMe India,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,Financial Services
PayMe India,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,FinTech
Eunimart,Eunimart is a one stop solution for merchants to create a difference by selling globally.,E-Commerce Platforms
Eunimart,Eunimart is a one stop solution for merchants to create a difference by selling globally.,Retail
Eunimart,Eunimart is a one stop solution for merchants to create a difference by selling globally.,SaaS
Hasura,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",Cloud Infrastructure
Hasura,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",PaaS
Hasura,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",SaaS
Tripshelf,Tripshelf is an online market place for holiday packages.,Internet
Tripshelf,Tripshelf is an online market place for holiday packages.,Leisure
Tripshelf,Tripshelf is an online market place for holiday packages.,Marketplace
Hyperdata.IO,Hyperdata combines advanced machine learning with human intelligence.,Market Research
Freightwalla,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,Information Services
Freightwalla,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,Information Technology
Microchip Payments,Microchip payments is a mobile-based payment application and point-of-sale device,Mobile Payments
BizCrum Infotech Pvt. Ltd.,Building Transactionary B2B Marketplaces,B2B
BizCrum Infotech Pvt. Ltd.,Building Transactionary B2B Marketplaces,Shoes
Emojifi,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",Internet
Flock,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,Apps
Flock,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,Collaboration
Flock,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,Developer Platform
Flock,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,Enterprise Software
Flock,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,Messaging
Flock,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,Productivity Tools
Flock,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,Video Chat
Freshboxx,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",Food Delivery
Wide Mobility Mechatronics,Wide Mobility Mechatronics is a Private Company limited by Shares,Industrial Automation
Pitstop,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,Automotive
Pitstop,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,Search Engine
Pitstop,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,Service Industry
Mihuru,Mihuru is an online platform which gives micro loans for air travel .,Finance
Mihuru,Mihuru is an online platform which gives micro loans for air travel .,Internet
Mihuru,Mihuru is an online platform which gives micro loans for air travel .,Travel
Fyle,Fyle is an intelligent expense management platform for enterprises.,Accounting
Fyle,Fyle is an intelligent expense management platform for enterprises.,Business Information Systems
Fyle,Fyle is an intelligent expense management platform for enterprises.,Business Travel
Fyle,Fyle is an intelligent expense management platform for enterprises.,Finance
Fyle,Fyle is an intelligent expense management platform for enterprises.,SaaS
AppWharf,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,Artificial Intelligence
AppWharf,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,Product Search
AppWharf,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,SaaS
AppWharf,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,Service Industry
AppWharf,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,Software
Antariksh Waste Ventures Pvt ltd,Waste Management for Smart Cities,Internet of Things
Antariksh Waste Ventures Pvt ltd,Waste Management for Smart Cities,Waste Management
Cogoport,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,Air Transportation
Cogoport,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,Freight Service
Cogoport,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,Logistics
Cogoport,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,Marine Transportation
PaisaDukan,A P2P lending marketplace platform,Financial Services
Sleepy Owl Coffee,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",Food and Beverage
BlueJack,Delhi-based online used vehicles marketplace.,Autonomous Vehicles
PregBuddy,PregBuddy is a smart connected care platform for expecting mothers.,Enterprise Software
PregBuddy,PregBuddy is a smart connected care platform for expecting mothers.,Health Care
PregBuddy,PregBuddy is a smart connected care platform for expecting mothers.,Hospital
PregBuddy,PregBuddy is a smart connected care platform for expecting mothers.,Parenting
PregBuddy,PregBuddy is a smart connected care platform for expecting mothers.,Personal Health
PregBuddy,PregBuddy is a smart connected care platform for expecting mothers.,SaaS
AgNext Technologies,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,Agriculture
AgNext Technologies,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,Analytics
AgNext Technologies,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,Big Data
AgNext Technologies,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,Farming
Pando,A startup which digitizes logistics operations for Fortune 500 companies.,Logistics
Pando,A startup which digitizes logistics operations for Fortune 500 companies.,Supply Chain Management
Mintifi,Online lending startup based in Mumbai.,Financial Services
Mintifi,Online lending startup based in Mumbai.,Lending
Carcrew,India's Online Auto Repair Marketplace,Automotive
Carcrew,India's Online Auto Repair Marketplace,Marketplace
Carcrew,India's Online Auto Repair Marketplace,Online Portals
NicheAI,Early stage Artificial Intelligence (AI) start up.,Artificial Intelligence
Chariot Tech,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,Internet of Things
Chariot Tech,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,Telecommunications
Ideal Insurance Brokers/ 121Policy.com,Ideal Insurance Broking is one of the leaders in insurance broking domain.,Insurance
Loanzen,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,Financial Services
Mojro Technologies,Mojro envisions to be the world's largest technology-enabled logistics platform.,Information Technology
