product_name,product_description,product_domain
Mamaearth,"Making products which are mum-baby friendly, toxin-free, meet stringent international standards & are basically ultra awesome, MamaEarth was born.","Health, Wellness & Fitness"
EsportsXO,"An esports company which offers tournament management, creator management & content",Mobile Games
Geniemode,Geniemode is building an extensive online platform solution for global buyers ranging from Mom & Pop stores to global giant retailers.,Import & Export
Exotel,"Customer engagement platform, streamlining customer interactions for Swiggy, Ola, Flipkart, GoJek etc.",Telecommunications
Innoviti Payment Solutions,Innoviti is India's most exciting payments company that has always brought differentiation through innovative solutions to solve real-world payment problems for businesses.,Financial Services
Pine Labs,"Pine Labs offers a merchant platform that includes technology and financial solutions for merchants to help them in increasing their revenue, reducing the cost and complexity of running business, and managing the risks involved.",Information Technology & Services
Moneyboxx,A NBFC democratising access to capital to the undeserved micro entrepreneurs in Tier 3 and beyond cities of the country.,Financial Services
CASHe,CASHe is a credit-enabled financial technology platform that offers a wide range of consumer lending products and services including personal loans,Financial Services
iD Fresh Foods,"iD Fresh Food is professional assistant in the kitchen, helping rustle up 100% natural and authentic Indian meals in a jiffy; with no chemicals, preservatives or artificial flavors.",Food Production
Freecultr,"FREECULTR is an inner, sleep, lounge and active wear brand where comfort meets style, premium meets affordable and skin meets its first love!",Apparel & Fashion
Udaan,Udaan is India's largest b2b eCommerce platform that is empowering small businesses through the power and scale offered by eCommerce.,B2B E-commerce
LivFin,LIVFIN is a Non-Banking Finance Company (NBFC) registered with the Reserve Bank of India.,Financial Services
Bambrew,Empowering Sustainability,Renewables & Environment
Courseplay,"An AI-powered, talent development suite focused on maximizing training ROI for learning-led business growth",E-learning
Dunzo,"Dunzo is an all-in-one 24X7 delivery platform, that picks and delivers anything and everything within the city while guaranteeing super-quick deliveries.",E-commerce
Rupifi,Building Financial Solutions for B2B Transactions and Payments,Financial Services
AarogyaAI,AI-enabled SaaS that diagnoses drug-resistant tuberculosis,Hospital & Health Care
Avataar,Avataar is a 3D AI company that helps large enterprise customers create immersive and interactive shopping experiences for their end consumers.,3D AI company
Power Gummies,Sell crafted Gummies with Vitamins in pursuit of health powered by happiness and backed by Science.,"Health, Wellness & Fitness"
The ePlane Company,The ePlane Company was started at IIT Madras in April 2017 by Professor Satya Chakravarthy and Pranjal Mehta to transform the mobility landscape.,Aviation & Aerospace
Grip Invest,"Grip offers investment opportunities to invest in physical assets leased to corporates, to earn fixed monthly returns.",Financial Services
Recykal,"Digital Technology company for Waste Management, Recycling Industry",Information Technology & Services
DMI Finance,A pan-India technology-driven financial services company focused on digital lending,Financial Services
Rupeek,Rupeek is India's leading asset-backed, digital lending fintech platform., digital lending fintech platform.",Financial Services
Ippo Pay,"Ippopay provides Payment Solutions for Businesses, SMEs, and Freelancers. IppoPay is the first Payment Gateway from TN",Financial Services
OneDios,"OneDios founded in 2019  is a startup initiative to provide ""direct from company"" end customer service experience to all Indian customers.",Information Technology & Services
zeda.io,"Zeda.io helps Product Teams and entrepreneurs to define, manage, and collaborate on their Products.",Computer Software
Glamplus,"Glamplus is a SAAS platform in the beauty and wellness space to digitize $200bn economy of Salons, Spas and Gyms in India and the South-East Asia market. We are spread across 15+ cities.",Computer Software
Refyne,Refyne partners with organisations to extend on-demand Earned Wage Access (EWA) to their employees.,Financial Services
Lendingkart,Lendingkart Group aims to make working capital finance available at the fingertips of entrepreneurs,Financial Services
Muvin,Muvin aims to enable youth to get accustomed to banking from an early age.,Financial Services
Freadom,Freadom is India's first comprehensive learning platform for children aged 3-12 to strengthen their English reading, speaking and conversation skills., speaking and conversation skills.",E-learning
Traya,Traya provides doctor prescribed treatment plans that help manage hair loss upto stage 4.,"Health, Wellness & Fitness"
Praan,Praan is a venture-backed deep tech start-up using breakthrough patent-pending technology for filter-less capture of particulates and carbon dioxide from ambient air.,Renewables & Environment
Pepul,"Pepul is a new age Interest-based Social Networking platform from India, where people share their beautiful life stories & skills on their interests.",Computer Software
Kaleidofin,Kaleidofin is a fintech platform that propels under-banked customers towards meeting their real life goals by providing intuitive and tailored financial solutions,Financial Services
LEAD School,LEAD is one of the fastest-growing School Ed-tech companies of India.,EdTech
Turnip,Turnip : Home of the mobile gaming community and gaming content creators.,Online Media
Rooter,Rooter is India's Leading Game Streaming Platform.,Mobile Games
ORAI Robotics,AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL,Information Technology & Services
EVage,"EVage is India's leading all-electric, purpose-built commercial vehicle OEM and has fused automobile designing with the ingenuity of aerospace engineering to reimagine and transform the mobility industry.",Automotive
Chingari,A unique and fun short video app where you can create interesting videos and share them with the world.,Entertainment
Your-Space,Your space is an eco-system that serves as a safe residence for students.,Hospitality
ZingHR,"Fully-integrated Global HRMS HRTech platform to deliver outcomes for future ready enterprises, CXOs & leaders globally.",Information Technology & Services
HEAPS,HEAPS is a health tech platform and Software as a Service (SaaS) provider,"Health, Wellness & Fitness"
nCORE Games,India's leading mobile game publishers,Computer Games
CarzSo India,"Offer a virtual reality of cars inside & out, helping check out the features online from the comfort of home",Automotive
