product_name,product_description,product_domain
Locofast,"Locofast is the fastest-growing B2B textile marketplace connecting manufacturers and suppliers to brands, export & buying houses.",Textiles
Snapmint,"At Snapmint, are eliminating the dependency on Credit Card and the hassle of physical documentation during loan applications, thereby making shopping a happy experience.",Financial Services
Kuhoo,"Kuhoo is a student loan fintech NBFC platform that aspires to democratise education for all, especially for households that belong to humble socio-economic backgrounds.",Financial Services
RupeeRedee,"RupeeRedee a division of Digital Finance International (Finstar Financial Group), is a digital platform that helps customers borrow money for their short-term needs at the click of a button.",Financial Services
Strawcture Eco,Strawcture Eco is a Green building material company commercialising 100% Sustainable products by compressed agri- fiber technology.,Building Materials
WYLD,WYLD is a phygital payment card and mobile app exclusively designed for active social media users,Consumer Services
Bebe Burp,Bebe Burp is a company that has its core values embedded around helping working parents.,Food & Beverages
Prozo,"Prozo is an 'e-commerce enabler & accelerator' for SMEs, D2C brands and Enterprises.",Logistics & Supply Chain
Pocketly,"Pocketly provides quick cash on hand, anytime - anywhere! For college students, and salaried people.",Financial Services
Zapkey,Zapkey is a home sale guarantee platform with a model that provides its customers with guaranteed home sales within 3 months of the listing date,Real Estate
Black Bow,"Black Bow is India's 1st Himalayan whisky by Ginglani Distillers, a homegrown alcobev startup with an aim to disrupt the Indian spirit scene by creating world-class local products.",Wine & Spirits
Lobb,Lobb is the new way to match logistics Demand & Supply,Transportation/Trucking/Railroad
Beatoven AI,Beatoven AI is a simplified music creator tool that helps create music for videos and podcasts.,Computer Software
Ensologic,Ensologic is India's numero uno cross border consumer goods e-commerce platform.,International Trade & Development
Eat Better Ventures,Makes delicious healthy snacks and helps people eat better without compromising on taste.,Food & Beverages
AjnaLens,AjnaLens presents the most comfortable and immersive mixed reality devices with solutions that deliver value instantly.,Computer Hardware
Just Dogs,Just Dogs is Indias largest specialty retailer of services and solutions for the lifetime needs of pets.,Ahmedabad
Filo,Filo is the world's fastest growing on-demand tutoring platform that connects students with Indias top 1% tutors in less than 60 seconds.,E-learning
Pocket FM,"Pocket FM lets users discover and enjoy the greatest selection of audio content ranging from audiobooks, stories and podcasts from the most diverse creator community.",Audio OTT
TABPS Pets,Pet Food And Cosmetics,Food Production
QPe,Digitally Transforming Bharat to India & Bringing Offline Businesses Online.,E-commerce
Bonsaro,"Bonsaro, the technology-driven supplier for seafood and meat",FoodTech
Chhotastock,"Chhotastock aims to democratise stock trading and retail investing, targeting users in tier II and beyond locations in India.",Financial Services
Junio,The startups goal is to nurture discipline and awareness in children about how to manage money in a fun and practical way.,Financial Services
CredAvenue,"A debt platform for enterprises, lenders and investors, CredAvenue offers the most comprehensive bouquet of debt products.",Financial Services
Captain Fresh,A B2B marketplace leveraging technology to deliver the fastest harvest-to-retail in the industry.,Logistics & Supply Chain
Otipy,Otipy helps the farmer to deliver farm fresh vegetables & fruits at doorstep.,AgriTech
CureSkin,Artificial intelligence-driven beauty and personal care brand,"Health, Wellness & Fitness"
Hiver,Worlds first helpdesk built for Google Workspace.,Computer Software
Gamerji,"An eSports tournament platform where gamers can compete, communicate and share content to win cash prizes",Sports
PensionBox,India's First Digital Pension Platform For Private Workforce,Financial Service
Adyaway,"Adyaway is a purpose driven boutique lifestyle brand for the conscious you, seeking mindful living experiences",Consumer Goods
Perfios,"Perfios is a leading product technology company enabling businesses to aggregate structured and unstructured data, curate, analyze and help in decision-making.",FinTech
Emeritus,"Emeritus is committed to teaching the skills of the future by making high-quality education accessible and affordable to individuals, companies, and governments around the world.",EdTech
Propdial,India's #1 Property Management Service Platform,Real Estate
Oorjaa,Technology Powered Logistics Solutions for the Intra - City Supply Chain,Logistics & Supply Chain
Blue Tokai,Coffee speciality brand,Food & Beverages
Money View,"Money View is a leading online credit platform that offers a full suite of personalized credit products like instant personal loans, cards, BNPL, and personal financial management solutions.",Financial Services
CredoPay,"A new-age fintech company that enables Banks, Financial institutions, PayFacs and ISOs with our industry-ready unified payment acquiring platform.",Financial Services
Loco,Loco is India's leading live game streaming platform. 'Democratise gaming entertainment',Entertainment
Kuku FM,"Kuku FM is Indias leading audio content platform that create, produce, market and distribute exclusive premium audio contents in the form of audiobooks",Entertainment
Metasky,"Metasky a Web3 platform to enable the next billion users of crypto and NFT powered communities, games, and experiences.",Information Technology & Services
Mentor Match,Mentor Match is a self-study platform that helps students of classes 8-12 connect directly with expert mentors/tutors instantly through a 1 on 1 video call.,E-learning
Nutrify Today,"Nutrify Today is largest Nutraceutical industry, Food tech and Pharma OTC  platform  that enables and empowers nutraceutical business by way of curated supply chain, Market access, and Peer networking.",International Trade & Development
Data Science Wizards,"Data Science Consulting, AI Solutions & Services Company",Information Technology & Services
SustainKart,Indias largest ecommerce marketplace exclusively for sustainable products.,E-commerce
HooLiv,"HooLiv intends to provide students with a modern form of CoLiving and improve their quality of life by focusing on three crucial aspects of Comfort, Convenience & Community.",Hospitality
Birdeye,"Birdeye everyday to attract new leads with Listings, Reviews and Referrals, convert them into customers with Webchat and Appointments, and delight those customers with Surveys, Ticketing, and Insights - all in one place.",Computer Software
Ferns N Petals,Largest Gifting Chain,Retail
inFeedo,"Asias leading employee experience platform that helps engage employees, predict attrition & answer FAQs with conversational AI that people love",Human Resources
Licious,The company is built with a vision to emerge as Indias most loved meat food brand by offering premium quality products.,Food & Beverages
BlueStone,BlueStone is India's leading destination for high quality fine jewellery with strikingly exquisite designs.,Luxury Goods & Jewelry
LILA Games,Making an innovative F2P Shooter Game,Entertainment
Excellent Publicity,"Excellent publicity has earned an envious reputation in the advertisement segment for creating, nurturing and enhancing brands like never before.",Marketing & Advertising
Growfitter,Growfitter is a gamified digital health reward platform that adds financial benefits to your physical activity!,"Health, Wellness & Fitness"
GPS Renewables,GPS Renewables is a Bangalore based clean-tech firm,Renewables & Environment
Cosmofeed,Helping content creators make money and bringing them closer to their fans.,Content monetisation platform
Shipskart,ShipsKart is a one stop shop for all marine needs.,Maritime
We360.ai,We360.ai is a cloud-based employee monitoring software that helps you gain insights into your employees work environment,Information Technology & Services
Amagi,Amagi is the worlds leading cloud-managed broadcast services and targeted advertising solutions company.,Broadcast Media
ekincare,Fastest growing and patented health bene?ts platform,"Health, Wellness & Fitness"
Logically,Logically combines advanced AI with human expertise to tackle harmful & problematic online content at scale.,Information Technology & Services
CommerceIQ,Leading consumer brands trust CommerceIQ to simplify Amazon,Software Development
Leverage Edu,Leading study abroad platform helping students from India & other emerging markets apply to universities abroad with an outcome-focused counseling approach that factors in employability + student success.,Higher Education
Aquaconnect,South Asia's pioneer full-stack aquaculture technology venture & marketplace,Fisheries
O'hi,"Ohi is a new social network where people of different geographies, cultures, professions can connect with each other in restaurants.",Internet Publishing
Oxyzo,A tech-enabled smart financing solution provider,Financial Services
Stack Finance,Indias first automated investing app,Financial Services
Plum,"Pureplay Skin Sciences is a new-age, values-based, science-driven clean beauty & grooming company",Skincare
Stanza Living,Indias largest managed-living ecosystem. A tech-first approach to deliver a resident-first living experience.,Hospiitality
SIDBI Venture Capital,"An investment management company and a wholly owned subsidiary of SIDBI (www.sidbi.in), the Apex Financial Institution in the country for the MSME sector.",Venture Capital and Private Equity Principals
Aye Finance,Aye Finance is a new-age finance company providing business loans to small and micro enterprises across India.,Financial Services
MedisimVR,MediSim VR was established to make comprehensive Virtual Reality medical simulation more accessible and affordable.,Hospitals and Health Care
Pickyourtrail,Indias biggest online D-I-Y travel booking platform,Travel Arrangements
The Ayurveda Co,D2C ayurvedic brand,Manufacturing
Vivriti Capital,"Vivriti Capital is Indias first tech enabled marketplace that brings together capital markets investors with institutions, small enterprises and individuals.",Financial Services
Pixxel,Pixxel is a space technology company working towards creating the world's highest resolution hyperspectral imaging satellite-imaging constellation.,Defense and Space Manufacturing
EdgeGrid,"The Energy Cloud of India - One energy platform where everyone can connect, transact and create Value.",Software Development
Classplus,"Classplus, a B2B edtech startup that helps educators and content creators launch and scale their online coaching businesses",EdTech
Pep Technologies Pvt Ltd,"Pep Technologies Pvt Ltd, the parent of Mumbai-based direct-to-consumer (D2C) personal care brand mCaffeine",D2C
Qure.ai,Make healthcare more affordable and accessible through the power of Artificial Intelligence,Medical Equipment Manufacturing
